slug,title,episode_date,episode_type,transcript_url,transcript_available,raw_segments,usable_segments,page_title,fetch_status,cache_path
the-2023-movie-auction-returns,The 2023 Movie Auction Returns!,2023-07-07,NA,https://podscripts.co/podcasts/the-big-picture/the-2023-movie-auction-returns,TRUE,469,469,The Big Picture - The 2023 Movie Auction Returns!,ok,NA
the-10-best-movies-of-2023-so-far,The 10 Best Movies of 2023 ... So Far,2023-07-04,NA,https://podscripts.co/podcasts/the-big-picture/the-10-best-movies-of-2023-so-far,TRUE,275,274,The Big Picture - The 10 Best Movies of 2023 ... So Far,ok,NA
indiana-jones-and-the-dial-of-destiny-and-the-indy-movie-rankings,Indiana Jones and the Dial of Destiny and the Indy Movie Rankings,2023-06-30,NA,https://podscripts.co/podcasts/the-big-picture/indiana-jones-and-the-dial-of-destiny-and-the-indy-movie-rankings,TRUE,250,250,The Big Picture - Indiana Jones and the Dial of Destiny and the Indy Movie Rankings,ok,NA
the-harrison-ford-hall-of-fame,The Harrison Ford Hall of Fame,2023-06-27,NA,https://podscripts.co/podcasts/the-big-picture/the-harrison-ford-hall-of-fame,TRUE,467,467,The Big Picture - The Harrison Ford Hall of Fame,ok,NA
jennifer-lawrences-movie-star-playbook-and-no-hard-feelings,Jennifer Lawrences Movie Star Playbook and No Hard Feelings,2023-06-23,NA,https://podscripts.co/podcasts/the-big-picture/jennifer-lawrences-movie-star-playbook-and-no-hard-feelings,TRUE,170,170,The Big Picture - Jennifer Lawrences Movie Star Playbook and No Hard Feelings,ok,NA
asteroid-city-and-the-wes-anderson-movie-rankings,Asteroid City and the Wes Anderson Movie Rankings,2023-06-20,NA,https://podscripts.co/podcasts/the-big-picture/asteroid-city-and-the-wes-anderson-movie-rankings,TRUE,195,194,The Big Picture - Asteroid City and the Wes Anderson Movie Rankings,ok,NA
the-flash-is-here-is-it-the-greatest-superhero-movie-ever,"The Flash Is Here! Is It the ""Greatest Superhero Movie Ever""?",2023-06-16,NA,https://podscripts.co/podcasts/the-big-picture/the-flash-is-here-is-it-the-greatest-superhero-movie-ever,TRUE,236,236,"The Big Picture - The Flash Is Here! Is It the ""Greatest Superhero Movie Ever""?",ok,NA
the-2001-movie-draft,The 2001 Movie Draft,2023-06-13,NA,https://podscripts.co/podcasts/the-big-picture/the-2001-movie-draft,TRUE,452,452,The Big Picture - The 2001 Movie Draft,ok,NA
ask-sean-anything-mailbag-transformers-rise-of-the-beasts-five-new-movies-to-stream-and-the-barbie-oppenheimer-hierarchy,"Ask Sean Anything Mailbag, Transformers: Rise of the Beasts, Five New Movies to Stream, and the Barbie-Oppenheimer Hierarchy",2023-06-09,NA,https://podscripts.co/podcasts/the-big-picture/ask-sean-anything-mailbag-transformers-rise-of-the-beasts-five-new-movies-to-stream-and-the-barbie-oppenheimer-hierarchy,TRUE,215,214,"The Big Picture - Ask Sean Anything Mailbag, Transformers: Rise of the Beasts, Five New Movies to Stream, and the Barbie-Oppenheimer Hierarchy",ok,NA
past-lives-the-start-of-oscar-season-and-the-top-five-most-romantic-movies-of-all-time,"'Past Lives,' the Start of Oscar Season, and the Top Five Most Romantic Movies of All Time",2023-06-07,NA,https://podscripts.co/podcasts/the-big-picture/past-lives-the-start-of-oscar-season-and-the-top-five-most-romantic-movies-of-all-time,TRUE,277,277,"The Big Picture - 'Past Lives,' the Start of Oscar Season, and the Top Five Most Romantic Movies of All Time",ok,NA
spider-man-across-the-spider-verse-is-here-to-save-us,Spider-Man: Across the Spider-Verse Is Here to Save Us,2023-06-02,NA,https://podscripts.co/podcasts/the-big-picture/spider-man-across-the-spider-verse-is-here-to-save-us,TRUE,172,172,The Big Picture - Spider-Man: Across the Spider-Verse Is Here to Save Us,ok,NA
movies-vs-tv-in-2023-what-the-succession-finale-says-about-storytelling-now-plus-a-pointless-little-mermaid,Movies Vs. TV in 2023: What the Succession Finale Says About Storytelling Now. Plus: A Pointless Little Mermaid.,2023-05-30,NA,https://podscripts.co/podcasts/the-big-picture/movies-vs-tv-in-2023-what-the-succession-finale-says-about-storytelling-now-plus-a-pointless-little-mermaid,TRUE,203,202,The Big Picture - Movies Vs. TV in 2023: What the Succession Finale Says About Storytelling Now. Plus: A Pointless Little Mermaid.,ok,NA
killers-of-the-flower-moon-hype-at-cannes-and-five-must-see-may-movies-plus-julia-louis-dreyfus,Killers of the Flower Moon Hype at Cannes and Five Must-See May Movies. Plus: Julia Louis-Dreyfus!,2023-05-26,NA,https://podscripts.co/podcasts/the-big-picture/killers-of-the-flower-moon-hype-at-cannes-and-five-must-see-may-movies-plus-julia-louis-dreyfus,TRUE,202,202,The Big Picture - Killers of the Flower Moon Hype at Cannes and Five Must-See May Movies. Plus: Julia Louis-Dreyfus!,ok,NA
the-robert-de-niro-movie-draft,The Robert De Niro Movie Draft,2023-05-23,NA,https://podscripts.co/podcasts/the-big-picture/the-robert-de-niro-movie-draft,TRUE,437,437,The Big Picture - The Robert De Niro Movie Draft,ok,NA
fast-x-and-the-desecration-of-movies-plus-paul-schrader,Fast X and the Desecration of Movies. Plus: Paul Schrader!,2023-05-19,NA,https://podscripts.co/podcasts/the-big-picture/fast-x-and-the-desecration-of-movies-plus-paul-schrader,TRUE,204,204,The Big Picture - Fast X and the Desecration of Movies. Plus: Paul Schrader!,ok,NA
the-10-most-anticipated-movies-of-summer-2023-and-the-most-surprising-film-of-the-year-so-far,"The 10 Most Anticipated Movies of Summer 2023, and the Most Surprising Film of the Year So Far",2023-05-16,NA,https://podscripts.co/podcasts/the-big-picture/the-10-most-anticipated-movies-of-summer-2023-and-the-most-surprising-film-of-the-year-so-far,TRUE,279,279,"The Big Picture - The 10 Most Anticipated Movies of Summer 2023, and the Most Surprising Film of the Year So Far",ok,NA
the-movie-star-rankings-35-over-35-revisited,"The Movie Star Rankings: 35 Over 35, Revisited",2023-05-12,NA,https://podscripts.co/podcasts/the-big-picture/the-movie-star-rankings-35-over-35-revisited,TRUE,412,411,"The Big Picture - The Movie Star Rankings: 35 Over 35, Revisited",ok,NA
dune-part-two-and-oppenheimer-hype-how-the-writers-strike-affects-movies-too-early-oscar-predictions-and-a-guardians-vol-3-hangover,"Dune: Part Two and Oppenheimer Hype, How the Writers Strike Affects Movies, Too-Early Oscar Predictions, and a Guardians Vol. 3 Hangover",2023-05-09,NA,https://podscripts.co/podcasts/the-big-picture/dune-part-two-and-oppenheimer-hype-how-the-writers-strike-affects-movies-too-early-oscar-predictions-and-a-guardians-vol-3-hangover,TRUE,253,252,"The Big Picture - Dune: Part Two and Oppenheimer Hype, How the Writers Strike Affects Movies, Too-Early Oscar Predictions, and a Guardians Vol. 3 Hangover",ok,NA
can-guardians-of-the-galaxy-vol-3-salvage-marvels-no-good-very-bad-year,"Can Guardians of the Galaxy Vol. 3 Salvage Marvels No Good, Very Bad Year?",2023-05-05,NA,https://podscripts.co/podcasts/the-big-picture/can-guardians-of-the-galaxy-vol-3-salvage-marvels-no-good-very-bad-year,TRUE,169,169,"The Big Picture - Can Guardians of the Galaxy Vol. 3 Salvage Marvels No Good, Very Bad Year?",ok,NA
the-top-10-garbage-lads-movies-and-guy-ritchies-the-covenant,The Top 10 Garbage Lads Movies and Guy Ritchies The Covenant,2023-05-02,NA,https://podscripts.co/podcasts/the-big-picture/the-top-10-garbage-lads-movies-and-guy-ritchies-the-covenant,TRUE,267,267,The Big Picture - The Top 10 Garbage Lads Movies and Guy Ritchies The Covenant,ok,NA
top-five-coming-of-age-movies-and-are-you-there-god-its-me-margaret,"Top Five Coming-of-Age Movies and Are You There God? Its Me, Margaret",2023-04-28,NA,https://podscripts.co/podcasts/the-big-picture/top-five-coming-of-age-movies-and-are-you-there-god-its-me-margaret,TRUE,200,200,"The Big Picture - Top Five Coming-of-Age Movies and Are You There God? Its Me, Margaret",ok,NA
the-1990s-summer-blockbuster-movie-draft,The 1990s Summer Blockbuster Movie Draft,2023-04-25,NA,https://podscripts.co/podcasts/the-big-picture/the-1990s-summer-blockbuster-movie-draft,TRUE,434,434,The Big Picture - The 1990s Summer Blockbuster Movie Draft,ok,NA
