page,row_on_page,title,episode_date,summary,transcript_url,slug,episode_type,year
2,4,The Avatar: The Way of Water Watch-Along!,2025-12-03,"Sean, Amanda, and Chris visit Pandora and join the Navi to watch James Camerons Avatar: The Way of Water in anticipation of his upcoming sequel, ...",https://podscripts.co/podcasts/the-big-picture/the-avatar-the-way-of-water-watch-along,the-avatar-the-way-of-water-watch-along,standard,2025
2,5,The Robert Redford Hall of Fame,2025-11-28,Sean and Amanda are joined by Tracy Letts to cover the monumental work of legendary actor Robert Redford. They celebrate the stars illustrious career...,https://podscripts.co/podcasts/the-big-picture/the-robert-redford-hall-of-fame,the-robert-redford-hall-of-fame,ranking,2025
2,6,The 25 Best Movies of the Century: No. 3 - '25th Hour,2025-11-26,"Sean and Amanda return to continue their yearlong project of listing the 25 best movies of the 21st century so far. Today, they discuss Spike Lees 2...",https://podscripts.co/podcasts/the-big-picture/the-25-best-movies-of-the-century-no-3-25th-hour,the-25-best-movies-of-the-century-no-3-25th-hour,standard,2025
2,7,"Best Picture Power Rankings and the Super-Sincerity of Sentimental Value, With Joachim Trier! Plus: Regretting Regretting You.",2025-11-24,"Sean and Amanda begin the show by discussing the imminent sale of Warner Brothers Discovery, consider the potential implications of a merger with one...",https://podscripts.co/podcasts/the-big-picture/best-picture-power-rankings-and-the-super-sincerity-of-sentimental-value-with-joachim-trier-plus-regretting-regretting-you,best-picture-power-rankings-and-the-super-sincerity-of-sentimental-value-with-joachim-trier-plus-regretting-regretting-you,oscar,2025
2,8,Wicked: For Good Is No Good. But Train Dreams Is.,2025-11-21,"Sean and Amanda are joined by Juliet Litman and return to the (not so) wonderful world of Oz to cover John M. Chus Wicked: For Good, starring Arian...",https://podscripts.co/podcasts/the-big-picture/wicked-for-good-is-no-good-but-train-dreams-is,wicked-for-good-is-no-good-but-train-dreams-is,standard,2025
2,9,The 25 Best Movies of the Century: No. 4 - 'Inglourious Basterds,2025-11-19,"Sean and Amanda return to continue their yearlong project of listing the 25 best movies of the 21st century so far. Today, they discuss Quentin Tarant...",https://podscripts.co/podcasts/the-big-picture/the-25-best-movies-of-the-century-no-4-inglourious-basterds,the-25-best-movies-of-the-century-no-4-inglourious-basterds,standard,2025
2,10,"The Top Five Ethan Hawke Movies and a Double Shot of Richard Linklater, With Ethan Hawke and Richard Linklater!",2025-11-17,"On todays action-packed show, Sean and Amanda dive deep into the two newest films from one of their favorite filmmakers, Richard Linklater. Before di...",https://podscripts.co/podcasts/the-big-picture/the-top-five-ethan-hawke-movies-and-a-double-shot-of-richard-linklater-with-ethan-hawke-and-richard-linklater,the-top-five-ethan-hawke-movies-and-a-double-shot-of-richard-linklater-with-ethan-hawke-and-richard-linklater,ranking,2025
2,11,"The Juiceless Fall Movie Season, The Running Man, and Now You See Me: Now You Dont",2025-11-14,"Sean and Amanda are joined by Van Lathan to cover two new releases that they collectively had mixed feelings about. Before diving in, though, they the...",https://podscripts.co/podcasts/the-big-picture/the-juiceless-fall-movie-season-the-running-man-and-now-you-see-me-now-you-dont,the-juiceless-fall-movie-season-the-running-man-and-now-you-see-me-now-you-dont,standard,2025
2,12,The 25 Best Movies of the Century: No. 5 - 'Lady Bird,2025-11-12,"Sean and Amanda return to continue their yearlong project of listing the 25 best movies of the 21st century so far. Today, they discuss Greta Gerwigs...",https://podscripts.co/podcasts/the-big-picture/the-25-best-movies-of-the-century-no-5-lady-bird,the-25-best-movies-of-the-century-no-5-lady-bird,standard,2025
2,13,Predator: Badlands and the 'Predator' Movie Rankings,2025-11-10,"Sean is joined by Chris Ryan to avenge their Yautja brethren on planet Genna and cover Dan Trachtenbergs Predator: Badlands, starring Elle Fanning...",https://podscripts.co/podcasts/the-big-picture/predator-badlands-and-the-predator-movie-rankings,predator-badlands-and-the-predator-movie-rankings,ranking,2025
2,14,Guillermo del Toros Frankenstein and the Best Frankenstein Movies. Plus: Jennifer Lawrence Is Ablaze in Die My Love.,2025-11-07,"Sean and Amanda are joined by Rob Mahoney to cover a pair of new releases, but before diving in, they react to two new movie trailers for Michael an...",https://podscripts.co/podcasts/the-big-picture/guillermo-del-toros-frankenstein-and-the-best-frankenstein-movies-plus-jennifer-lawrence-is-ablaze-in-die-my-love,guillermo-del-toros-frankenstein-and-the-best-frankenstein-movies-plus-jennifer-lawrence-is-ablaze-in-die-my-love,standard,2025
2,15,The 25 Best Movies of the Century: No. 6 - 'Mulholland Drive,2025-11-05,"Sean and Amanda return to continue their yearlong project of listing the 25 best movies of the 21st century so far. Today, they discuss David Lynchs...",https://podscripts.co/podcasts/the-big-picture/the-25-best-movies-of-the-century-no-6-mulholland-drive,the-25-best-movies-of-the-century-no-6-mulholland-drive,standard,2025
2,16,The 1989 Movie Draft,2025-11-03,"Were drafting again! Before diving into the draft, Sean, Amanda, and Chris react to two recent pieces of news with Disney reportedly turning down Ste...",https://podscripts.co/podcasts/the-big-picture/the-1989-movie-draft,the-1989-movie-draft,draft,2025
2,17,"Best Picture Power Rankings, Bugonia, and the New Paranoid Thriller, With Yorgos Lanthimos!",2025-10-31,"Sean and Amanda kick off the show with a brand-new version of their Best Picture Power Rankings (1:43). Then, they cover Yorgos Lanthimoss new movie,...",https://podscripts.co/podcasts/the-big-picture/best-picture-power-rankings-bugonia-and-the-new-paranoid-thriller-with-yorgos-lanthimos,best-picture-power-rankings-bugonia-and-the-new-paranoid-thriller-with-yorgos-lanthimos,oscar,2025
2,18,The 25 Best Movies of the Century: No. 7 - 'In The Mood for Love,2025-10-29,"Sean and Amanda return to continue their yearlong project of listing the 25 best movies of the 21st century so far. Today, they discuss Wong Kar-wais...",https://podscripts.co/podcasts/the-big-picture/the-25-best-movies-of-the-century-no-7-in-the-mood-for-love,the-25-best-movies-of-the-century-no-7-in-the-mood-for-love,standard,2025
2,19,A House of Dynamite Is Ready to Explode,2025-10-27,"Sean and Amanda start the show by covering the major box office success of Chainsaw Man, reacting to the news that Cinemark is opening myriad new 70...",https://podscripts.co/podcasts/the-big-picture/a-house-of-dynamite-is-ready-to-explode,a-house-of-dynamite-is-ready-to-explode,standard,2025
2,20,Springsteen: Deliver Me From Nowhere and the Music Biopic Mount Rushmore,2025-10-24,Sean and Amanda are joined by Chris Ryan and Yasi Salek to head over to 'State Trooper' town and cover Scott Coopers Springsteen: Deliver Me From No...,https://podscripts.co/podcasts/the-big-picture/springsteen-deliver-me-from-nowhere-and-the-music-biopic-mount-rushmore,springsteen-deliver-me-from-nowhere-and-the-music-biopic-mount-rushmore,standard,2025
3,1,The 25 Best Movies of the Century: No. 8 - Parasite,2025-10-22,"Sean and Amanda return to continue their yearlong project of listing the 25 best movies of the 21st century so far. Today, they discuss Bong Joon-hos...",https://podscripts.co/podcasts/the-big-picture/the-25-best-movies-of-the-century-no-8-parasite,the-25-best-movies-of-the-century-no-8-parasite,standard,2025
