league,strategy,bets,win_rate,avg_odds,profit,roi,avg_profit,volatility,max_drawdown,avg_implied_prob,calibration_gap,roi_ci_low,roi_ci_high
NHL,underdog_first10pct,1366,0.40702781844802344,113.76573938506588,-9214.35189559766,-0.06745499191506339,-6.745499191506339,114.09958937916038,-10456.25665750242,0.4232959762498239,-0.016268157801800538,-0.13460100714665776,-0.010886540272613196
POOLED,road_dog_3w,3113,0.3793768069386444,178.52071956312238,-3207.359097174286,-0.010303113065127807,-1.0303113065127807,142.908681811279,-14260.751811228043,0.37485338505219834,0.004523421886446055,-0.06776099720615032,0.041558192615642656
MLB,road_dog_3w,662,0.4773413897280967,40.151057401812686,2611.9233075857037,0.03945503485779009,3.9455034857790086,111.17064315178979,-2147.53188626489,0.46066219056694063,0.016679199161155997,-0.04417466605400338,0.11866389132163502
NBA,road_dog_3w,1095,0.3105022831050228,296.4027397260274,1760.7540453074434,0.01607994561924606,1.6079945619246059,176.96513703399333,-6985.523809523809,0.2998022502283363,0.01070003287668654,-0.09404881581908732,0.13229165739877194
NFL,road_dog_3w,353,0.34844192634560905,232.39943342776203,-279.2758132956153,-0.00791149612735454,-0.7911496127354541,149.15286255649318,-2961.0,0.3295075522357222,0.01893437410988685,-0.11299475136957439,0.09976912236662953
NHL,road_dog_3w,1003,0.40079760717846463,122.19042871385842,-7300.760636771817,-0.07278923865176289,-7.278923865176289,114.91723027336025,-8267.906079564318,0.4161122508204791,-0.015314643642014467,-0.16929107929416706,0.011772321088358146
POOLED,big_dog_3w,2335,0.32762312633832974,264.8441113490364,9755.0,0.04177730192719486,4.177730192719486,164.08925670308028,-10192.0,0.3132164931030564,0.014406633235273426,-0.039167137086148364,0.12461003630659291
MLB,big_dog_3w,518,0.44594594594594594,178.05405405405406,11940.0,0.2305019305019305,23.05019305019305,138.53776793025116,-1914.0,0.4047365812332808,0.0412093647126651,0.07905827139317707,0.3592885296424023
NBA,big_dog_3w,1117,0.279319606087735,332.46911369740377,2574.0,0.02304386750223814,2.304386750223814,185.47976275360455,-7974.0,0.26356702472707527,0.015752581360659712,-0.09012589657171119,0.15203768454667468
NFL,big_dog_3w,334,0.3023952095808383,271.7185628742515,-837.0,-0.02505988023952096,-2.5059880239520957,157.59766968315674,-2990.0,0.2900849190391769,0.012310290541661422,-0.18425078689370483,0.15593970610513547
NHL,big_dog_3w,366,0.33060109289617484,175.0191256830601,-3922.0,-0.10715846994535519,-10.71584699453552,127.9155162981749,-4062.0,0.35632304026658174,-0.025721947370406797,-0.20332089433650444,0.02121530794786606
POOLED,modest_dog_3w,3566,0.4548513740886147,61.98485698261357,-12234.2817145498,-0.034308137169236676,-3.4308137169236677,106.45909315223,-15050.50799104642,0.45193160369522145,0.0029197703933932467,-0.06747444674160417,-0.0001611858048987316
MLB,modest_dog_3w,1810,0.474585635359116,27.828729281767956,-2971.5507436126854,-0.016417407423274504,-1.6417407423274506,104.54980829784041,-5903.54544922566,0.4588587457127038,0.015726889646412223,-0.06490888514954739,0.020136652165105903
NBA,modest_dog_3w,520,0.4269230769230769,105.5576923076923,-3279.063881863425,-0.06305892080506587,-6.305892080506587,109.12241398580913,-4392.968643768187,0.44022585122295016,-0.013302774299873261,-0.1419892489405814,0.025184314324822515
NFL,modest_dog_3w,185,0.4918918918918919,107.5945945945946,1773.7340876944836,0.09587751825375587,9.587751825375587,110.51850826467093,-988.0,0.4386136122414071,0.05327827965048479,0.009152585096705867,0.20807198693338708
NHL,modest_dog_3w,1051,0.42816365366317793,91.22074215033301,-7757.401176768173,-0.07380971623946882,-7.380971623946882,107.54894874579287,-9175.099230490892,0.4481377812907435,-0.01997412762756556,-0.1410426947490368,-0.007607658374006993
